1577886.588227 5100330.882361              CB82-08 355.00 1.4398 0
1577868.764698 5100348.647066              CB82-08 356.00 1.4391 0
1577850.941170 5100366.411771              CB82-08 357.00 1.4388 0
1577833.117642 5100384.176476              CB82-08 358.00 1.4383 0
1577815.294113 5100401.941181              CB82-08 359.00 1.4380 0
1577797.470585 5100419.705886              CB82-08 360.00 1.4377 0
1577779.647057 5100437.470590              CB82-08 361.00 1.4373 0
1577761.823528 5100455.235295              CB82-08 362.00 1.4371 0
1577744.000000 5100473.000000              CB82-08 363.00 1.4371 0
1577726.384615 5100490.692308              CB82-08 364.00 1.4371 0
1577708.769229 5100508.384617              CB82-08 365.00 1.4374 0
1577691.153846 5100526.076923              CB82-08 366.00 1.4377 0
1577673.538459 5100543.769233              CB82-08 367.00 1.4380 0
1577655.923075 5100561.461540              CB82-08 368.00 1.4377 0
1577638.307692 5100579.153847              CB82-08 369.00 1.4377 0
1577620.692301 5100596.846160              CB82-08 370.00 1.4377 0
1577603.076918 5100614.538467              CB82-08 371.00 1.4378 0
1577585.461534 5100632.230773              CB82-08 372.00 1.4376 0
1577567.846151 5100649.923080              CB82-08 373.00 1.4376 0
1577550.230767 5100667.615387              CB82-08 374.00 1.4376 0
1577532.615384 5100685.307693              CB82-08 375.00 1.4373 0
1577515.000000 5100703.000000              CB82-08 376.00 1.4372 0
1577497.027778 5100720.250000              CB82-08 377.00 1.4368 0
1577479.055555 5100737.500000              CB82-08 378.00 1.4367 0
1577461.083332 5100754.750002              CB82-08 379.00 1.4366 0
1577443.111111 5100772.000001              CB82-08 380.00 1.4365 0
1577425.138885 5100789.250004              CB82-08 381.00 1.4366 0
1577407.166663 5100806.500003              CB82-08 382.00 1.4364 0
1577389.194442 5100823.750002              CB82-08 383.00 1.4361 0
1577371.222221 5100841.000001              CB82-08 384.00 1.4362 0
1577353.250000 5100858.250000              CB82-08 385.00 1.4366 0
1577335.277769 5100875.500008              CB82-08 386.00 1.4369 0
1577317.305558 5100892.749998              CB82-08 387.00 1.4371 0
1577299.333327 5100910.000006              CB82-08 388.00 1.4370 0
1577281.361115 5100927.249996              CB82-08 389.00 1.4370 0
1577263.388885 5100944.500004              CB82-08 390.00 1.4368 0
1577245.416673 5100961.749994              CB82-08 391.00 1.4366 0
1577227.444442 5100979.000002              CB82-08 392.00 1.4364 0
1577209.472231 5100996.249992              CB82-08 393.00 1.4360 0
1577191.500000 5101013.500000              CB82-08 394.00 1.4357 0
1577173.527769 5101030.750008              CB82-08 395.00 1.4353 0
1577155.555538 5101048.000016              CB82-08 396.00 1.4350 0
1577137.583346 5101065.249988              CB82-08 397.00 1.4346 0
1577119.611115 5101082.499996              CB82-08 398.00 1.4346 0
1577101.638885 5101099.750004              CB82-08 399.00 1.4348 0
1577083.666654 5101117.000012              CB82-08 400.00 1.4351 0
1577065.694462 5101134.249984              CB82-08 401.00 1.4356 0
1577047.722231 5101151.499992              CB82-08 402.00 1.4358 0
1577029.750000 5101168.750000              CB82-08 403.00 1.4361 0
1577011.777769 5101186.000008              CB82-08 404.00 1.4358 0
1576993.805538 5101203.250016              CB82-08 405.00 1.4353 0
1576975.833346 5101220.499988              CB82-08 406.00 1.4343 0
1576957.861115 5101237.749996              CB82-08 407.00 1.4336 0
1576939.888885 5101255.000004              CB82-08 408.00 1.4335 0
1576921.916654 5101272.250012              CB82-08 409.00 1.4333 0
